Provinsi,Penduduk Miskin,Tingkat Pengangguran terbuka,Upah Minimum Provinsi,Rata Pengeluaran per Kapita Sebulan,Rataan upah per jam,PDRB,Pendapatan APBD,Pengeluaran APBD,Densitas Jalan,Angka Melek Huruf,Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas
Aceh,14.75,6.17,3166460,1180132.93,16772,211750.02,13352.98,16170.65,0.41629,1.75,9.79
Sumatera Utara,8.33,6.16,2522609,1216496.65,15131,955193.09,12011.63,12649.63,0.56458,0.89,9.99
Sumatera Barat,6.04,6.28,2512539,1342985.51,15887,285378.64,5924.28,6204.28,0.53783,0.71,9.51
Riau,6.84,4.37,2938564,1425170.86,18626,991589.59,8656.85,8656.85,0.26915,0.82,9.54
Jambi,7.7,4.59,2649034,1261836.78,16042,276316.37,4215.31,4795.85,0.26812,1.9,9.07
Sumatera Selatan,11.95,4.63,3144446,1148812.47,15978,591603.48,9902.57,9766.47,0.22573,1.35,8.82
Bengkulu,14.34,3.59,2238094,1196483.76,16501,90111.95,2760.08,2838.78,0.45846,2.2,9.28
Lampung,11.44,4.52,2440486,1074987.43,13218,414131.42,6558.09,7011.7,0.61096,2.75,8.61
Kepulauan Bangka Belitung,4.61,4.77,3264884,1654280.53,18132,95285.43,1927.54,2079.66,0.35296,1.83,8.57
Kepulauan Riau,6.03,8.23,3050172,1831700.40,23528,308842.68,3480.32,3870.32,0.68781,0.98,10.46
DKI Jakarta,4.61,7.18,4641854,2525347.37,32685,3186111.49,77448.71,75757.23,9.81116,0.31,11.3
Jawa Barat,7.98,8.31,1841487,1437394.12,19038,2422782.32,31540.87,31525.7,0.76831,1.51,9.14
Jawa Tengah,10.98,5.57,1812935,1121793.86,12604,1560899.02,24303.74,24589.87,0.89753,5.74,8.38
DI Yogyakarta,11.49,4.06,1840915,1480374.28,14916,165690.21,5364.61,5761.35,1.40318,4.85,10.07
Jawa Timur,10.49,5.49,1891567,1165137.91,15119,2730907.09,27642.17,29454.86,0.88311,6.68,8.5
Banten,6.24,8.09,2501203,1619571.71,23880,747250.29,10645.88,11223.18,0.61105,1.84,9.46
Bali,4.53,4.8,2516971,1442609.77,16857,245233.24,5044.66,6102.49,1.56668,4.47,9.74
Nusa Tenggara Barat,13.82,2.89,2207212,1160662.07,11734,156944.05,5399.08,5961.58,0.43246,11.03,8.31
Nusa Tenggara Timur,20.23,3.54,1975000,884102.08,13012,118718.20,5060.28,5486.76,0.51702,5.37,8.25
Kalimantan Barat,6.81,5.11,2434328,1232618.22,16337,255797.28,5392.93,5684.42,0.12766,6.04,8.1
Kalimantan Tengah,5.22,4.26,2922516,1442295.24,19795,199947.90,5167.26,5191.68,0.12321,0.88,9.03
Kalimantan Selatan,4.61,4.74,2906473,1407718.94,18661,251256.54,6278.84,6243.84,0.36192,1.64,8.89
Kalimantan Timur,6.44,5.71,3014497,1797485.53,22281,921332.98,10861.8,11501.77,0.10526,1.03,10.13
Kalimantan Utara,6.86,4.33,3016738,1570185.98,20320,138718.18,2146.31,2404.94,0.07094,2.29,9.45
Sulawesi Utara,7.34,6.61,3310723,1236705.51,18335,157028.36,4000.12,3817.65,0.69785,0.19,9.87
Sulawesi Tengah,12.3,3,2390739,1083678.96,15890,323617.16,8678.12,6808.72,0.27517,1.95,9.17
Sulawesi Selatan,8.66,4.51,3165876,1142611.70,17257,605144.68,9223.13,9109.28,0.67601,6.69,9.09
Sulawesi Tenggara,11.27,3.36,2576016,1111595.30,17542,158761.13,3840.47,4767.32,0.35564,4.21,9.59
Gorontalo,15.51,2.58,2800580,1142996.73,14289,47574.43,1757.29,1739.47,0.45871,1.58,8.39
Sulawesi Barat,11.92,2.34,2678863,955905.28,14774,54070.98,1827.08,2015.66,0.37241,6.18,8.47
Maluku,16.23,6.88,2619312,1169828.33,17006,53692.91,3328.15,4015.22,0.22473,0.6,10.37
Maluku Utara,6.37,3.98,2862231,1128586.35,18278,70902.61,2849.04,3335.96,0.22304,1.22,9.6
Papua Barat,21.43,5.37,3200000,1448505.39,24128,91291.75,6311.85,6778.26,0.21612,2.36,10.14
Papua,26.8,2.83,3561932,1454320.71,24097,262515.82,14763.75,15758.96,0.26080,18.81,7.31
