,x2,x3,x4,x5,x6,x7,x8,x9,x10,cluster
Aceh,0.842070842,0.752283732,0.770827917,-0.514994587,-0.270115142,-0.097254182,0.016654172,-0.425332397,0.664621961,2
Bali,-1.091470268,-0.103845665,-0.360768285,0.340793061,-0.249787222,0.88128358,0.046853736,0.314737971,0.603449393,2
Banten,-0.767952137,1.952114713,-0.388240665,0.917765271,1.429777222,-0.015709368,0.225534494,-0.400844774,0.260883011,1
Bengkulu,0.764502168,-0.859989148,-0.846652039,-0.461683833,-0.334925332,-0.301116216,0.537596661,-0.302894284,0.040661766,2
Yogyakarta,0.225305283,-0.566280523,-1.538651823,0.463921643,-0.71398124,1.898555128,0.290966884,0.418130155,1.007188343,2
Jakarta Raya,-1.076334917,1.383444821,3.341387612,3.870984388,3.535510517,1.176883528,-3.404704836,-0.817134356,2.512033519,1
Gorontalo,0.985856678,-1.491150237,0.133359972,-0.636074608,-0.86392954,-0.776114754,0.204143135,-0.471586795,-1.048209947,2
Jambi,-0.491731979,-0.235077179,-0.130676645,-0.248604815,-0.444696096,0.440941587,0.380307262,-0.384519693,-0.21626302,2
Jawa Barat,-0.43875825,2.089595346,-1.537655235,0.323787793,0.271803274,1.295123508,-0.072686207,-0.490632723,-0.130621425,2
Jawa Tengah,0.128817419,0.377336551,-1.587401012,-0.705205104,-1.266900647,1.700808955,0.980523609,0.660285533,-1.060444461,2
Jawa Timur,0.036113393,0.327343593,-1.450401505,-0.563884816,-0.665433386,0.534718122,0.966682142,0.916045145,-0.913630297,2
Kalimantan Barat,-0.66011276,0.089877045,-0.504756104,-0.343869916,-0.374146259,0.241156794,0.95661562,0.741910941,-1.403010842,2
Kalimantan Selatan,-1.076334917,-0.141340384,0.317855962,0.227033914,0.181642972,-0.517209971,-0.250108649,-0.455261713,-0.436484266,2
Kalimantan Tengah,-0.960927865,-0.441298129,0.345807472,0.339767557,0.452841332,-0.162490033,-0.285341474,-0.662046081,-0.265201075,2
Kalimantan Timur,-0.730113759,0.464824226,0.506064767,1.49784102,1.047373186,1.717117918,-1.149804011,-0.621233376,1.080595424,1
Kalimantan Utara,-0.650653166,-0.397554291,0.509969232,0.756746501,0.578396128,0.88536082,-1.114571186,-0.278406662,0.248648498,2
Bangka-Belitung,-1.076334917,-0.122593025,0.942310766,1.030930986,0.055131568,0.230963692,0.654619974,-0.403565621,-0.827988702,2
Kepulauan Riau,-0.807682434,2.039602389,0.568220853,1.609396245,1.34559572,0.031178899,-1.736178891,-0.634837611,1.484334374,1
Lampung,0.215845688,-0.278821017,-0.494027101,-0.857814244,-1.120061324,0.233002313,1.08496377,-0.153247703,-0.779050647,2
Maluku,1.122074839,1.19597123,-0.182460897,-0.548592025,-0.214153576,-1.618064953,-0.017320339,-0.738229795,1.374223751,2
Maluku Utara,-0.743357192,-0.61627348,0.240773704,-0.683058659,0.090047759,-0.666029256,0.782968124,-0.569537285,0.432166202,2
Nusa Tenggara Barat,0.666122385,-1.297427527,-0.900457345,-0.578477984,-1.474962881,-1.363237411,0.950324044,2.099613564,-1.146086056,3
Nusa Tenggara Timur,1.878842397,-0.891234747,-1.305037279,-1.480182772,-1.169326634,-1.208302265,0.805617797,0.559614196,-1.219493138,3
Papua,3.121833111,-1.334922245,1.459853617,0.378975774,1.481673204,-1.711841489,0.40169862,4.216432484,-2.369537419,3
Irian Jaya Barat,2.105872664,0.252354157,0.829264221,0.360015324,1.489086916,-1.613987712,-0.174609738,-0.259360733,1.092829938,2
Riau,-0.654437004,-0.372557812,0.373767693,0.283934697,0.173272653,0.618301556,-0.839000159,-0.678371162,0.35875912,2
Sulawesi Barat,0.306657795,-1.64112911,-0.078705968,-1.246073387,-0.747940823,-1.948321448,1.173045833,0.780002798,-0.950333838,3
Sulawesi Selatan,-0.310107765,-0.285070137,0.769810421,-0.637329972,-0.154126425,0.222809211,0.53004677,0.918765992,-0.191793993,2
Sulawesi Tengah,0.378550713,-1.22868721,-0.58070065,-0.829476109,-0.481047199,-0.604870646,0.645811768,-0.370915458,-0.093917884,2
Sulawesi Tenggara,0.183683067,-1.003718901,-0.257894952,-0.738456806,-0.085968107,0.410362282,0.824492525,0.243995951,0.419931688,2
Sulawesi Utara,-0.559841059,1.027244999,1.022175457,-0.330543589,0.103679423,0.673344305,-0.511838209,-0.849784519,0.76249807,2
Sumatera Barat,-0.805790515,0.821024049,-0.3684901,0.015975027,-0.481764655,-0.20733968,-1.351134442,-0.708300479,0.322055579,2
Sumatera Selatan,0.312333552,-0.2100807,0.732473212,-0.617112789,-0.460001824,-0.046288674,0.102219605,-0.534166274,-0.522125861,2
Sumatera Utara,-0.372541088,0.746034613,-0.350945271,-0.396433184,-0.662563562,-0.333734141,-1.654388403,-0.659325234,0.909312233,2
