Date,Original,Spline,Linear
1/1/2013,,,
1/2/2013,1820,1820,1820
1/3/2013,1830,1830,1830
1/4/2013,1840,1840,1840
1/5/2013,,1830,1830.010758
1/6/2013,,1820,1820.045069
1/7/2013,1810,1810,1810
1/8/2013,1840,1840,1840
1/9/2013,1840,1840,1840
1/10/2013,1810,1810,1810
1/11/2013,1780,1780,1780
1/12/2013,,1783.333333,1783.380998
1/13/2013,,1786.666667,1786.733378
1/14/2013,1790,1790,1790
1/15/2013,1830,1830,1830
1/16/2013,1810,1810,1810
1/17/2013,1840,1840,1840
1/18/2013,1820,1820,1820
1/19/2013,,1846.666667,1846.687338
1/20/2013,,1873.333333,1873.250825
1/21/2013,1900,1900,1900
1/22/2013,1840,1840,1840
1/23/2013,1860,1860,1860
1/24/2013,,1860,1859.953235
1/25/2013,1860,1860,1860
1/26/2013,,1860,1860.009723
1/27/2013,,1860,1860.016683
1/28/2013,1860,1860,1860
1/29/2013,1880,1880,1880
1/30/2013,1900,1900,1900
1/31/2013,1900,1900,1900
2/1/2013,1930,1930,1930
2/2/2013,,1950,1949.204689
2/3/2013,,1970,1967.290274
2/4/2013,1990,1990,1990
2/5/2013,2000,2000,2000
2/6/2013,2000,2000,2000
2/7/2013,1980,1980,1980
2/8/2013,2020,2020,2020
2/9/2013,,2020,2019.951116
2/10/2013,,2020,2020.004771
2/11/2013,2020,2020,2020
2/12/2013,2030,2030,2030
2/13/2013,2000,2000,2000
2/14/2013,2000,2000,2000
2/15/2013,2000,2000,2000
2/16/2013,,2003.333333,2004.979773
2/17/2013,,2006.666667,2008.157762
2/18/2013,2010,2010,2010
2/19/2013,2040,2040,2040
2/20/2013,2060,2060,2060
2/21/2013,2040,2040,2040
2/22/2013,2070,2070,2070
2/23/2013,,2090,2087.385782
2/24/2013,,2110,2109.332186
2/25/2013,2130,2130,2130
2/26/2013,2200,2200,2200
2/27/2013,2160,2160,2160
2/28/2013,2150,2150,2150
3/1/2013,2180,2180,2180
3/2/2013,,2170,2169.967521
3/3/2013,,2160,2160.023193
3/4/2013,2150,2150,2150
3/5/2013,2160,2160,2160
3/6/2013,2120,2120,2120
3/7/2013,2140,2140,2140
3/8/2013,2160,2160,2160
3/9/2013,,2160,2159.982567
3/10/2013,,2160,2159.984778
3/11/2013,2160,2160,2160
3/12/2013,,2145,2145.840003
3/13/2013,2130,2130,2130
3/14/2013,2140,2140,2140
3/15/2013,2140,2140,2140
3/16/2013,,2136.666667,2137.208369
3/17/2013,,2133.333333,2132.772279
3/18/2013,2130,2130,2130
3/19/2013,2140,2140,2140
3/20/2013,2160,2160,2160
3/21/2013,2180,2180,2180
3/22/2013,2140,2140,2140
3/23/2013,,2126.666667,2126.766626
3/24/2013,,2113.333333,2113.472069
3/25/2013,2100,2100,2100
3/26/2013,2170,2170,2170
3/27/2013,2140,2140,2140
3/28/2013,2220,2220,2220
3/29/2013,,2215,2214.876091
3/30/2013,,2210,2209.951936
3/31/2013,,2205,2205.02778
4/1/2013,2200,2200,2200
4/2/2013,2240,2240,2240
4/3/2013,2240,2240,2240
4/4/2013,2240,2240,2240
4/5/2013,2190,2190,2190
4/6/2013,,2193.333333,2193.382662
4/7/2013,,2196.666667,2196.64524
4/8/2013,2200,2200,2200
4/9/2013,2160,2160,2160
4/10/2013,2140,2140,2140
4/11/2013,2130,2130,2130
4/12/2013,2170,2170,2170
4/13/2013,,2166.666667,2166.576694
4/14/2013,,2163.333333,2163.248587
4/15/2013,2160,2160,2160
4/16/2013,2130,2130,2130
4/17/2013,2170,2170,2170
4/18/2013,2180,2180,2180
4/19/2013,2210,2210,2210
4/20/2013,,2206.666667,2206.613225
4/21/2013,,2203.333333,2203.272305
4/22/2013,2200,2200,2200
4/23/2013,2160,2160,2160
4/24/2013,2160,2160,2160
4/25/2013,2190,2190,2190
4/26/2013,2220,2220,2220
4/27/2013,,2206.666667,2206.666489
4/28/2013,,2193.333333,2193.380303
4/29/2013,2180,2180,2180
4/30/2013,2190,2190,2190
5/1/2013,2140,2140,2140
5/2/2013,2140,2140,2140
5/3/2013,2150,2150,2150
5/4/2013,,2153.333333,2152.213652
5/5/2013,,2156.666667,2156.145767
5/6/2013,2160,2160,2160
5/7/2013,2200,2200,2200
5/8/2013,2200,2200,2200
5/9/2013,,2200,2200.021002
